hangul,kanji,font0_slot_index,font0_page,font0_u0,font0_v0,font1_slot_index,font1_page,font1_u0,font1_v0,code_hex_font0,code_hex_font1
됴,田,2011,1,0.571568,0.351734,1150,11,0.725452,0,0x00E794B0,0x00E794B0
두,箇,242,0,0.263801,0.483635,125,3,0.322423,0.886663,0x00E7AE87,0x00E7AE87
둑,時,1129,0,0.967269,0.901319,639,7,0.161212,0.483635,0x00E69982,0x00E69982
둔,失,1155,0,0.549585,0.923302,652,7,0.241817,0.56424,0x00E5A4B1,0x00E5A4B1
둘,求,536,0,0.791402,0.615535,289,5,0,0.080606,0x00E6B182,0x00E6B182
둠,故,799,0,0.637518,0.747435,451,6,0.483635,0.161212,0x00E69585,0x00E69585
둡,電,2012,1,0.593552,0.351734,1151,11,0.806058,0,0x00E99BBB,0x00E99BBB
둣,吐,2014,1,0.637518,0.351734,1152,11,0.886663,0,0x00E59090,0x00E59090
둥,呪,1215,0,0.879336,0.945286,689,7,0.322423,0.806058,0x00E591AA,0x00E591AA
둬,堵,2015,1,0.659502,0.351734,1153,11,0,0.080606,0x00E5A0B5,0x00E5A0B5
뒀,塗,2016,1,0.681485,0.351734,1154,11,0.080606,0.080606,0x00E5A197,0x00E5A197
뒈,屠,2018,1,0.725452,0.351734,1155,11,0.161212,0.080606,0x00E5B1A0,0x00E5B1A0
뒝,徒,2019,1,0.747435,0.351734,1156,11,0.241817,0.080606,0x00E5BE92,0x00E5BE92
뒤,響,598,0,0.175867,0.659502,330,5,0.403029,0.322423,0x00E99FBF,0x00E99FBF
뒨,渡,2022,1,0.813385,0.351734,1157,11,0.322423,0.080606,0x00E6B8A1,0x00E6B8A1
뒬,登,2023,1,0.835369,0.351734,1158,11,0.403029,0.080606,0x00E799BB,0x00E799BB
뒵,賭,2025,1,0.879336,0.351734,1159,11,0.483635,0.080606,0x00E8B3AD,0x00E8B3AD
뒷,途,2026,1,0.901319,0.351734,1160,11,0.56424,0.080606,0x00E98094,0x00E98094
뒹,都,2027,1,0.923302,0.351734,1161,11,0.644846,0.080606,0x00E983BD,0x00E983BD
듀,悟,824,0,0.197851,0.769419,465,6,0.644846,0.241817,0x00E6829F,0x00E6829F
듄,努,2031,1,0.021983,0.373718,1162,11,0.725452,0.080606,0x00E58AAA,0x00E58AAA
듈,度,2032,1,0.043967,0.373718,1163,11,0.806058,0.080606,0x00E5BAA6,0x00E5BAA6
듐,土,2033,1,0.06595,0.373718,1164,11,0.886663,0.080606,0x00E59C9F,0x00E59C9F
듕,奴,2034,1,0.087934,0.373718,1165,11,0,0.161212,0x00E5A5B4,0x00E5A5B4
드,割,351,0,0.681485,0.527601,184,4,0.241817,0.322423,0x00E589B2,0x00E589B2
득,花,243,0,0.285784,0.483635,126,3,0.403029,0.886663,0x00E88AB1,0x00E88AB1
든,管,418,0,0.175867,0.571568,215,4,0.806058,0.483635,0x00E7AEA1,0x00E7AEA1
듣,怒,2035,1,0.109917,0.373718,1166,11,0.080606,0.161212,0x00E68092,0x00E68092
들,塊,273,0,0.945286,0.483635,144,4,0.886663,0,0x00E5A18A,0x00E5A18A
듦,倒,2036,1,0.1319,0.373718,1167,11,0.161212,0.161212,0x00E58092,0x00E58092
듬,党,2037,1,0.153884,0.373718,1168,11,0.241817,0.161212,0x00E5859A,0x00E5859A
듭,小,1331,1,0.461651,0.021983,755,8,0.806058,0.241817,0x00E5B08F,0x00E5B08F
듯,挙,554,0,0.197851,0.637518,302,5,0.080606,0.161212,0x00E68C99,0x00E68C99
등,企,452,0,0.923302,0.571568,233,4,0.322423,0.644846,0x00E4BC81,0x00E4BC81
듸,冬,2038,1,0.175867,0.373718,1169,11,0.322423,0.161212,0x00E586AC,0x00E586AC
디,喜,455,0,0,0.593552,235,4,0.483635,0.644846,0x00E5969C,0x00E5969C
딕,凍,2039,1,0.197851,0.373718,1170,11,0.403029,0.161212,0x00E5878D,0x00E5878D
딘,刀,2040,1,0.219834,0.373718,1171,11,0.483635,0.161212,0x00E58880,0x00E58880
딛,島,2046,1,0.351734,0.373718,1172,11,0.56424,0.161212,0x00E5B3B6,0x00E5B3B6
딜,投,2049,1,0.417684,0.373718,1173,11,0.644846,0.161212,0x00E68A95,0x00E68A95
딤,桃,2052,1,0.483635,0.373718,1174,11,0.725452,0.161212,0x00E6A183,0x00E6A183
딥,盗,2055,1,0.549585,0.373718,1175,11,0.806058,0.161212,0x00E79B97,0x00E79B97
딧,湯,2057,1,0.593552,0.373718,1176,11,0.886663,0.161212,0x00E6B9AF,0x00E6B9AF
딨,灯,2059,1,0.637518,0.373718,1177,11,0,0.241817,0x00E781AF,0x00E781AF
딩,九,634,0,0.967269,0.659502,350,5,0.080606,0.483635,0x00E4B99D,0x00E4B99D
딪,当,2061,1,0.681485,0.373718,1178,11,0.080606,0.241817,0x00E5BD93,0x00E5BD93
따,胸,592,0,0.043967,0.659502,325,5,0,0.322423,0x00E883B8,0x00E883B8
딱,等,2064,1,0.747435,0.373718,1179,11,0.161212,0.241817,0x00E7AD89,0x00E7AD89
딴,答,2065,1,0.769419,0.373718,1180,11,0.241817,0.241817,0x00E7AD94,0x00E7AD94
딸,統,2068,1,0.835369,0.373718,1181,11,0.322423,0.241817,0x00E7B5B1,0x00E7B5B1
땀,到,2069,1,0.857352,0.373718,1182,11,0.403029,0.241817,0x00E588B0,0x00E588B0
땁,蕩,2071,1,0.901319,0.373718,1183,11,0.483635,0.241817,0x00E895A9,0x00E895A9
땃,藤,2072,1,0.923302,0.373718,1184,11,0.56424,0.241817,0x00E897A4,0x00E897A4
땄,討,2073,1,0.945286,0.373718,1185,11,0.644846,0.241817,0x00E8A88E,0x00E8A88E
땅,公,841,0,0.571568,0.769419,471,6,0.161212,0.322423,0x00E585AC,0x00E585AC
