hangul,kanji,font0_slot_index,font0_page,font0_u0,font0_v0,font1_slot_index,font1_page,font1_u0,font1_v0,code_hex_font0,code_hex_font1
롸,拍,2242,1,0.703469,0.461651,1275,11,0.161212,0.886663,0x00E68B8D,0x00E68B8D
롼,泊,2244,1,0.747435,0.461651,1276,11,0.241817,0.886663,0x00E6B38A,0x00E6B38A
뢍,白,2245,1,0.769419,0.461651,1277,11,0.322423,0.886663,0x00E799BD,0x00E799BD
뢨,薄,2249,1,0.857352,0.461651,1278,11,0.403029,0.886663,0x00E89684,0x00E89684
뢰,喰,649,0,0.307767,0.681485,357,5,0.644846,0.483635,0x00E596B0,0x00E596B0
뢴,迫,2250,1,0.879336,0.461651,1279,11,0.483635,0.886663,0x00E8BFAB,0x00E8BFAB
뢸,曝,2251,1,0.901319,0.461651,1280,11,0.56424,0.886663,0x00E69B9D,0x00E69B9D
룀,爆,2253,1,0.945286,0.461651,1281,11,0.644846,0.886663,0x00E78886,0x00E78886
룁,縛,2254,1,0.967269,0.461651,1282,11,0.725452,0.886663,0x00E7B89B,0x00E7B89B
룃,莫,2255,1,0,0.483635,1283,11,0.806058,0.886663,0x00E88EAB,0x00E88EAB
룅,箱,2259,1,0.087934,0.483635,1284,11,0.886663,0.886663,0x00E7AEB1,0x00E7AEB1
료,救,534,0,0.747435,0.615535,288,5,0.886663,0,0x00E69591,0x00E69591
룐,筈,2263,1,0.175867,0.483635,1285,12,0,0,0x00E7AD88,0x00E7AD88
룔,肌,2266,1,0.241817,0.483635,1286,12,0.080606,0,0x00E8828C,0x00E8828C
룝,畑,2267,1,0.263801,0.483635,1287,12,0.161212,0,0x00E79591,0x00E79591
룟,八,2269,1,0.307767,0.483635,1288,12,0.241817,0,0x00E585AB,0x00E585AB
룡,貢,902,0,0.923302,0.791402,500,6,0.56424,0.483635,0x00E8B2A2,0x00E8B2A2
루,餌,129,0,0.747435,0.417684,59,3,0.806058,0.403029,0x00E9A48C,0x00E9A48C
룩,発,2272,1,0.373718,0.483635,1289,12,0.322423,0,0x00E799BA,0x00E799BA
룬,髪,2274,1,0.417684,0.483635,1290,12,0.403029,0,0x00E9ABAA,0x00E9ABAA
룰,些,960,0,0.219834,0.835369,536,6,0.56424,0.725452,0x00E4BA9B,0x00E4BA9B
룸,幾,463,0,0.175867,0.593552,242,4,0.080606,0.725452,0x00E5B9BE,0x00E5B9BE
룹,伐,2275,1,0.439668,0.483635,1291,12,0.483635,0,0x00E4BC90,0x00E4BC90
룻,強,580,0,0.769419,0.637518,315,5,0.161212,0.241817,0x00E5BCB7,0x00E5BCB7
룽,罰,2276,1,0.461651,0.483635,1292,12,0.56424,0,0x00E7BDB0,0x00E7BDB0
뤄,準,1287,1,0.483635,0,730,8,0.725452,0.080606,0x00E6BA96,0x00E6BA96
뤘,抜,2277,1,0.483635,0.483635,1293,12,0.644846,0,0x00E68A9C,0x00E68A9C
뤠,伴,2285,1,0.659502,0.483635,1294,12,0.725452,0,0x00E4BCB4,0x00E4BCB4
뤼,判,2286,1,0.681485,0.483635,1295,12,0.806058,0,0x00E588A4,0x00E588A4
뤽,半,2287,1,0.703469,0.483635,1296,12,0.886663,0,0x00E58D8A,0x00E58D8A
륀,反,2288,1,0.725452,0.483635,1297,12,0,0.080606,0x00E58F8D,0x00E58F8D
륄,叛,2289,1,0.747435,0.483635,1298,12,0.080606,0.080606,0x00E58F9B,0x00E58F9B
륌,搬,2291,1,0.791402,0.483635,1299,12,0.161212,0.080606,0x00E690AC,0x00E690AC
륏,板,2293,1,0.835369,0.483635,1300,12,0.241817,0.080606,0x00E69DBF,0x00E69DBF
륑,犯,2297,1,0.923302,0.483635,1301,12,0.322423,0.080606,0x00E78AAF,0x00E78AAF
류,偶,651,0,0.351734,0.681485,359,5,0.806058,0.483635,0x00E581B6,0x00E581B6
륙,繁,2300,1,0,0.505618,1302,12,0.403029,0.080606,0x00E7B981,0x00E7B981
륜,範,2304,1,0.087934,0.505618,1303,12,0.483635,0.080606,0x00E7AF84,0x00E7AF84
률,膏,896,0,0.791402,0.791402,496,6,0.241817,0.483635,0x00E8868F,0x00E8868F
륨,煩,2306,1,0.1319,0.505618,1304,12,0.56424,0.080606,0x00E785A9,0x00E785A9
륩,飯,2308,1,0.175867,0.505618,1305,12,0.644846,0.080606,0x00E9A3AF,0x00E9A3AF
륫,晩,2310,1,0.219834,0.505618,1306,12,0.725452,0.080606,0x00E699A9,0x00E699A9
륭,番,2311,1,0.241817,0.505618,1307,12,0.806058,0.080606,0x00E795AA,0x00E795AA
르,押,190,0,0.109917,0.461651,94,3,0.725452,0.644846,0x00E68ABC,0x00E68ABC
륵,盤,2312,1,0.263801,0.505618,1308,12,0.886663,0.080606,0x00E79BA4,0x00E79BA4
른,脚,522,0,0.483635,0.615535,276,4,0.886663,0.886663,0x00E8849A,0x00E8849A
를,扱,24,0,0.417684,0.373718,8,3,0.56424,0.080606,0x00E689B1,0x00E689B1
름,頑,449,0,0.857352,0.571568,230,4,0.080606,0.644846,0x00E9A091,0x00E9A091
릅,借,1187,0,0.263801,0.945286,669,7,0.644846,0.644846,0x00E5809F,0x00E5809F
릇,蛮,2315,1,0.329751,0.505618,1309,12,0,0.161212,0x00E89BAE,0x00E89BAE
릉,傷,1316,1,0.1319,0.021983,746,8,0.080606,0.241817,0x00E582B7,0x00E582B7
릊,卑,2317,1,0.373718,0.505618,1310,12,0.080606,0.161212,0x00E58D91,0x00E58D91
릍,否,2318,1,0.395701,0.505618,1311,12,0.161212,0.161212,0x00E590A6,0x00E590A6
릎,庇,2320,1,0.439668,0.505618,1312,12,0.241817,0.161212,0x00E5BA87,0x00E5BA87
리,以,43,0,0.835369,0.373718,16,3,0.241817,0.161212,0x00E4BBA5,0x00E4BBA5
릭,個,789,0,0.417684,0.747435,444,6,0.886663,0.080606,0x00E5808B,0x00E5808B
린,疑,502,0,0.043967,0.615535,267,4,0.161212,0.886663,0x00E79691,0x00E79691
릴,工,856,0,0.901319,0.769419,478,6,0.725452,0.322423,0x00E5B7A5,0x00E5B7A5
림,偽,493,0,0.835369,0.593552,261,4,0.644846,0.806058,0x00E581BD,0x00E581BD
립,穀,929,0,0.527601,0.813385,517,6,0,0.644846,0x00E7A980,0x00E7A980
릿,彼,2321,1,0.461651,0.505618,1313,12,0.322423,0.161212,0x00E5BDBC,0x00E5BDBC
링,掲,698,0,0.395701,0.703469,382,5,0.725452,0.644846,0x00E68EB2,0x00E68EB2
마,維,62,0,0.263801,0.395701,30,3,0.403029,0.241817,0x00E7B6AD,0x00E7B6AD
막,恐,583,0,0.835369,0.637518,317,5,0.322423,0.241817,0x00E68190,0x00E68190
만,菓,248,0,0.395701,0.483635,130,3,0.725452,0.886663,0x00E88F93,0x00E88F93
많,驚,600,0,0.219834,0.659502,331,5,0.483635,0.322423,0x00E9A99A,0x00E9A99A
맏,悲,2322,1,0.483635,0.505618,1314,12,0.403029,0.161212,0x00E682B2,0x00E682B2
말,訓,676,0,0.901319,0.681485,369,5,0.644846,0.56424,0x00E8A893,0x00E8A893
맑,笑,1365,1,0.219834,0.043967,772,8,0.241817,0.403029,0x00E7AC91,0x00E7AC91
맒,扉,2323,1,0.505618,0.505618,1315,12,0.483635,0.161212,0x00E68989,0x00E68989
맘,批,2324,1,0.527601,0.505618,1316,12,0.56424,0.161212,0x00E689B9,0x00E689B9
맙,邪,1186,0,0.241817,0.945286,668,7,0.56424,0.644846,0x00E982AA,0x00E982AA
맛,財,1007,0,0.263801,0.857352,570,7,0.403029,0,0x00E8B2A1,0x00E8B2A1
망,供,566,0,0.461651,0.637518,308,5,0.56424,0.161212,0x00E4BE9B,0x00E4BE9B
맞,儀,494,0,0.857352,0.593552,262,4,0.725452,0.806058,0x00E58480,0x00E58480
맡,具,646,0,0.241817,0.681485,355,5,0.483635,0.483635,0x00E585B7,0x00E585B7
맣,斐,2326,1,0.571568,0.505618,1317,12,0.644846,0.161212,0x00E69690,0x00E69690
매,急,533,0,0.725452,0.615535,287,5,0.806058,0,0x00E680A5,0x00E680A5
맥,比,2327,1,0.593552,0.505618,1318,12,0.725452,0.161212,0x00E6AF94,0x00E6AF94
맨,車,1183,0,0.175867,0.945286,665,7,0.322423,0.644846,0x00E8BB8A,0x00E8BB8A
맬,疲,2329,1,0.637518,0.505618,1319,12,0.806058,0.161212,0x00E796B2,0x00E796B2
맴,皮,2330,1,0.659502,0.505618,1320,12,0.886663,0.161212,0x00E79AAE,0x00E79AAE
맵,繰,670,0,0.769419,0.681485,366,5,0.403029,0.56424,0x00E7B9B0,0x00E7B9B0
맷,秘,2332,1,0.703469,0.505618,1321,12,0,0.241817,0x00E7A798,0x00E7A798
맸,被,2336,1,0.791402,0.505618,1322,12,0.080606,0.241817,0x00E8A2AB,0x00E8A2AB
맹,皇,883,0,0.505618,0.791402,490,6,0.725452,0.403029,0x00E79A87,0x00E79A87
맺,費,2338,1,0.835369,0.505618,1323,12,0.161212,0.241817,0x00E8B2BB,0x00E8B2BB
먀,避,2339,1,0.857352,0.505618,1324,12,0.241817,0.241817,0x00E981BF,0x00E981BF
먁,非,2340,1,0.879336,0.505618,1325,12,0.322423,0.241817,0x00E99D9E,0x00E99D9E
먈,飛,2341,1,0.901319,0.505618,1326,12,0.403029,0.241817,0x00E9A39B,0x00E9A39B
먕,備,2344,1,0.967269,0.505618,1327,12,0.483635,0.241817,0x00E58299,0x00E58299
머,鋼,908,0,0.06595,0.813385,503,6,0.806058,0.483635,0x00E98BBC,0x00E98BBC
먹,傘,1052,0,0.263801,0.879336,590,7,0.080606,0.161212,0x00E58298,0x00E58298
먼,構,876,0,0.351734,0.791402,487,6,0.483635,0.403029,0x00E6A78B,0x00E6A78B
멀,裟,973,0,0.505618,0.835369,545,6,0.322423,0.806058,0x00E8A39F,0x00E8A39F
멂,尾,2345,1,0,0.527601,1328,12,0.56424,0.241817,0x00E5B0BE,0x00E5B0BE
멈,兼,742,0,0.373718,0.725452,413,5,0.322423,0.886663,0x00E585BC,0x00E585BC
멉,微,2346,1,0.021983,0.527601,1329,12,0.644846,0.241817,0x00E5BEAE,0x00E5BEAE
멋,冗,1390,1,0.769419,0.043967,786,8,0.403029,0.483635,0x00E58697,0x00E58697
멍,眉,2350,1,0.109917,0.527601,1330,12,0.725452,0.241817,0x00E79C89,0x00E79C89
멎,美,2351,1,0.1319,0.527601,1331,12,0.806058,0.241817,0x00E7BE8E,0x00E7BE8E
멓,鼻,2352,1,0.153884,0.527601,1332,12,0.886663,0.241817,0x00E9BCBB,0x00E9BCBB
메,且,361,0,0.901319,0.527601,188,4,0.56424,0.322423,0x00E4B894,0x00E4B894
멕,匹,2355,1,0.219834,0.527601,1333,12,0,0.322423,0x00E58CB9,0x00E58CB9
멘,膝,2359,1,0.307767,0.527601,1334,12,0.080606,0.322423,0x00E8869D,0x00E8869D
멜,肘,2361,1,0.351734,0.527601,1335,12,0.161212,0.322423,0x00E88298,0x00E88298
멤,鉦,1381,1,0.571568,0.043967,781,8,0,0.483635,0x00E989A6,0x00E989A6
멥,必,2363,1,0.395701,0.527601,1336,12,0.241817,0.322423,0x00E5BF85,0x00E5BF85
멧,姫,2368,1,0.505618,0.527601,1337,12,0.322423,0.322423,0x00E5A7AB,0x00E5A7AB
멨,媛,2369,1,0.527601,0.527601,1338,12,0.403029,0.322423,0x00E5AA9B,0x00E5AA9B
멩,百,2371,1,0.571568,0.527601,1339,12,0.483635,0.322423,0x00E799BE,0x00E799BE
며,較,334,0,0.307767,0.527601,175,4,0.483635,0.241817,0x00E8BC83,0x00E8BC83
멱,標,2375,1,0.659502,0.527601,1340,12,0.56424,0.322423,0x00E6A899,0x00E6A899
면,延,163,0,0.505618,0.439668,77,3,0.322423,0.56424,0x00E5BBB6,0x00E5BBB6
멸,件,738,0,0.285784,0.725452,410,5,0.080606,0.886663,0x00E4BBB6,0x00E4BBB6
몃,氷,2376,1,0.681485,0.527601,1341,12,0.644846,0.322423,0x00E6B0B7,0x00E6B0B7
몄,漂,2377,1,0.703469,0.527601,1342,12,0.725452,0.322423,0x00E6BC82,0x00E6BC82
명,希,462,0,0.153884,0.593552,241,4,0,0.725452,0x00E5B88C,0x00E5B88C
몇,釈,1194,0,0.417684,0.945286,672,7,0.886663,0.644846,0x00E98788,0x00E98788
몌,表,2380,1,0.769419,0.527601,1343,12,0.806058,0.322423,0x00E8A1A8,0x00E8A1A8
모,逸,80,0,0.659502,0.395701,40,3,0.241817,0.322423,0x00E980B8,0x00E980B8
목,乙,210,0,0.549585,0.461651,102,3,0.403029,0.725452,0x00E4B999,0x00E4B999
몫,評,2381,1,0.791402,0.527601,1344,12,0.886663,0.322423,0x00E8A995,0x00E8A995
몬,愁,1228,0,0.175867,0.967269,698,7,0.080606,0.886663,0x00E68481,0x00E68481
몰,繋,709,0,0.637518,0.703469,390,5,0.403029,0.725452,0x00E7B98B,0x00E7B98B
몲,秒,2386,1,0.901319,0.527601,1345,12,0,0.403029,0x00E7A792,0x00E7A792
몸,激,726,0,0.021983,0.725452,399,5,0.161212,0.806058,0x00E6BF80,0x00E6BF80
몹,状,1402,1,0.043967,0.06595,794,8,0.080606,0.56424,0x00E78AB6,0x00E78AB6
못,削,1020,0,0.549585,0.857352,573,7,0.644846,0,0x00E5898A,0x00E5898A
몽,禁,621,0,0.681485,0.659502,342,5,0.403029,0.403029,0x00E7A681,0x00E7A681
뫄,品,2393,1,0.06595,0.549585,1346,12,0.080606,0.403029,0x00E59381,0x00E59381
뫈,瀕,2397,1,0.153884,0.549585,1347,12,0.161212,0.403029,0x00E78095,0x00E78095
뫘,貧,2398,1,0.175867,0.549585,1348,12,0.241817,0.403029,0x00E8B2A7,0x00E8B2A7
뫙,賓,2399,1,0.197851,0.549585,1349,12,0.322423,0.403029,0x00E8B393,0x00E8B393
뫼,不,2403,1,0.285784,0.549585,1350,12,0.403029,0.403029,0x00E4B88D,0x00E4B88D
묀,付,2404,1,0.307767,0.549585,1351,12,0.483635,0.403029,0x00E4BB98,0x00E4BB98
묄,夫,2406,1,0.351734,0.549585,1352,12,0.56424,0.403029,0x00E5A4AB,0x00E5A4AB
묍,富,2408,1,0.395701,0.549585,1353,12,0.644846,0.403029,0x00E5AF8C,0x00E5AF8C
묏,布,2410,1,0.439668,0.549585,1354,12,0.725452,0.403029,0x00E5B883,0x00E5B883
묑,怖,2412,1,0.483635,0.549585,1355,12,0.806058,0.403029,0x00E68096,0x00E68096
묘,肢,1107,0,0.483635,0.901319,624,7,0.886663,0.322423,0x00E882A2,0x00E882A2
묜,敷,2414,1,0.527601,0.549585,1356,12,0.886663,0.403029,0x00E695B7,0x00E695B7
묠,斧,2415,1,0.549585,0.549585,1357,12,0,0.483635,0x00E696A7,0x00E696A7
묩,普,2416,1,0.571568,0.549585,1358,12,0.080606,0.483635,0x00E699AE,0x00E699AE
묫,浮,2417,1,0.593552,0.549585,1359,12,0.161212,0.483635,0x00E6B5AE,0x00E6B5AE
무,異,60,0,0.219834,0.395701,28,3,0.241817,0.241817,0x00E795B0,0x00E795B0
묵,支,1092,0,0.153884,0.901319,616,7,0.241817,0.322423,0x00E694AF,0x00E694AF
묶,父,2418,1,0.615535,0.549585,1360,12,0.241817,0.483635,0x00E788B6,0x00E788B6
문,鬼,491,0,0.791402,0.593552,260,4,0.56424,0.806058,0x00E9ACBC,0x00E9ACBC
묻,腐,2420,1,0.659502,0.549585,1361,12,0.322423,0.483635,0x00E88590,0x00E88590
물,忌,464,0,0.197851,0.593552,243,4,0.161212,0.725452,0x00E5BF8C,0x00E5BF8C
묽,負,2424,1,0.747435,0.549585,1362,12,0.403029,0.483635,0x00E8B2A0,0x00E8B2A0
묾,赴,2426,1,0.791402,0.549585,1363,12,0.483635,0.483635,0x00E8B5B4,0x00E8B5B4
뭄,侮,2429,1,0.857352,0.549585,1364,12,0.56424,0.483635,0x00E4BEAE,0x00E4BEAE
뭅,武,2431,1,0.901319,0.549585,1365,12,0.644846,0.483635,0x00E6ADA6,0x00E6ADA6
뭇,衝,1372,1,0.373718,0.043967,776,8,0.56424,0.403029,0x00E8A19D,0x00E8A19D
뭉,舞,2432,1,0.923302,0.549585,1366,12,0.725452,0.483635,0x00E8889E,0x00E8889E
뭍,部,2435,1,0,0.571568,1367,12,0.806058,0.483635,0x00E983A8,0x00E983A8
뭏,封,2436,1,0.021983,0.571568,1368,12,0.886663,0.483635,0x00E5B081,0x00E5B081
뭐,志,1089,0,0.087934,0.901319,613,7,0,0.322423,0x00E5BF97,0x00E5BF97
뭔,風,2438,1,0.06595,0.571568,1369,12,0,0.56424,0x00E9A2A8,0x00E9A2A8
뭘,伏,2441,1,0.1319,0.571568,1370,12,0.080606,0.56424,0x00E4BC8F,0x00E4BC8F
뭡,副,2442,1,0.153884,0.571568,1371,12,0.161212,0.56424,0x00E589AF,0x00E589AF
뭣,復,2443,1,0.175867,0.571568,1372,12,0.241817,0.56424,0x00E5BEA9,0x00E5BEA9
뭬,服,2445,1,0.219834,0.571568,1373,12,0.322423,0.56424,0x00E69C8D,0x00E69C8D
뮈,福,2446,1,0.241817,0.571568,1374,12,0.403029,0.56424,0x00E7A68F,0x00E7A68F
뮌,腹,2447,1,0.263801,0.571568,1375,12,0.483635,0.56424,0x00E885B9,0x00E885B9
뮐,複,2448,1,0.285784,0.571568,1376,12,0.56424,0.56424,0x00E8A487,0x00E8A487
뮤,覆,2449,1,0.307767,0.571568,1377,12,0.644846,0.56424,0x00E8A686,0x00E8A686
뮨,淵,2450,1,0.329751,0.571568,1378,12,0.725452,0.56424,0x00E6B7B5,0x00E6B7B5
뮬,根,953,0,0.06595,0.835369,533,6,0.322423,0.725452,0x00E6A0B9,0x00E6A0B9
뮴,払,2452,1,0.373718,0.571568,1379,12,0.806058,0.56424,0x00E68995,0x00E68995
뮷,物,2455,1,0.439668,0.571568,1380,12,0.886663,0.56424,0x00E789A9,0x00E789A9
므,吟,632,0,0.923302,0.659502,348,5,0.886663,0.403029,0x00E5909F,0x00E5909F
믄,分,2457,1,0.483635,0.571568,1381,12,0,0.644846,0x00E58886,0x00E58886
믈,憤,2461,1,0.571568,0.571568,1382,12,0.080606,0.644846,0x00E686A4,0x00E686A4
믐,扮,2462,1,0.593552,0.571568,1383,12,0.161212,0.644846,0x00E689AE,0x00E689AE
믓,焚,2463,1,0.615535,0.571568,1384,12,0.241817,0.644846,0x00E7849A,0x00E7849A
미,影,133,0,0.835369,0.417684,60,3,0.886663,0.403029,0x00E5BDB1,0x00E5BDB1
믹,拾,1229,0,0.197851,0.967269,699,7,0.161212,0.886663,0x00E68BBE,0x00E68BBE
민,雌,1118,0,0.725452,0.901319,631,7,0.483635,0.403029,0x00E99B8C,0x00E99B8C
믿,奮,2464,1,0.637518,0.571568,1385,12,0.322423,0.644846,0x00E5A5AE,0x00E5A5AE
밀,勧,388,0,0.505618,0.549585,195,4,0.161212,0.403029,0x00E58BA7,0x00E58BA7
밂,粉,2465,1,0.659502,0.571568,1386,12,0.403029,0.644846,0x00E7B289,0x00E7B289
밈,糞,2466,1,0.681485,0.571568,1387,12,0.483635,0.644846,0x00E7B39E,0x00E7B39E
밉,雰,2468,1,0.725452,0.571568,1388,12,0.56424,0.644846,0x00E99BB0,0x00E99BB0
밋,文,2469,1,0.747435,0.571568,1389,12,0.644846,0.644846,0x00E69687,0x00E69687
밌,聞,2470,1,0.769419,0.571568,1390,12,0.725452,0.644846,0x00E8819E,0x00E8819E
밍,見,764,0,0.857352,0.725452,427,6,0.483635,0,0x00E8A68B,0x00E8A68B
및,載,1001,0,0.1319,0.857352,565,7,0,0,0x00E8BC89,0x00E8BC89
밑,併,2472,1,0.813385,0.571568,1391,12,0.806058,0.644846,0x00E4BDB5,0x00E4BDB5
바,関,433,0,0.505618,0.571568,223,4,0.483635,0.56424,0x00E996A2,0x00E996A2
박,功,842,0,0.593552,0.769419,472,6,0.241817,0.322423,0x00E58A9F,0x00E58A9F
밖,算,1062,0,0.483635,0.879336,595,7,0.483635,0.161212,0x00E7AE97,0x00E7AE97
밗,兵,2473,1,0.835369,0.571568,1392,12,0.886663,0.644846,0x00E585B5,0x00E585B5
반,欺,500,0,0,0.615535,265,4,0,0.886663,0x00E6ACBA,0x00E6ACBA
받,閣,336,0,0.351734,0.527601,176,4,0.56424,0.241817,0x00E996A3,0x00E996A3
발,黄,200,0,0.329751,0.461651,98,3,0.080606,0.725452,0x00E9BB84,0x00E9BB84
밝,至,1109,0,0.527601,0.901319,625,7,0,0.403029,0x00E887B3,0x00E887B3
밞,平,2476,1,0.901319,0.571568,1393,12,0,0.725452,0x00E5B9B3,0x00E5B9B3
밟,弱,1198,0,0.505618,0.945286,675,7,0.161212,0.725452,0x00E5BCB1,0x00E5BCB1
밤,君,674,0,0.857352,0.681485,368,5,0.56424,0.56424,0x00E5909B,0x00E5909B
밥,弊,2477,1,0.923302,0.571568,1394,12,0.080606,0.725452,0x00E5BC8A,0x00E5BC8A
밧,柄,2478,1,0.945286,0.571568,1395,12,0.161212,0.725452,0x00E69F84,0x00E69F84
방,殴,194,0,0.197851,0.461651,96,3,0.886663,0.644846,0x00E6AEB4,0x00E6AEB4
밭,並,2479,1,0.967269,0.571568,1396,12,0.241817,0.725452,0x00E4B8A6,0x00E4B8A6
배,戯,497,0,0.923302,0.593552,263,4,0.806058,0.806058,0x00E688AF,0x00E688AF
백,岸,440,0,0.659502,0.571568,228,4,0.886663,0.56424,0x00E5B2B8,0x00E5B2B8
밴,閉,2481,1,0.021983,0.593552,1397,12,0.322423,0.725452,0x00E99689,0x00E99689
밸,詞,1111,0,0.571568,0.901319,627,7,0.161212,0.403029,0x00E8A99E,0x00E8A99E
뱀,頁,2484,1,0.087934,0.593552,1398,12,0.403029,0.725452,0x00E9A081,0x00E9A081
뱁,壁,2486,1,0.1319,0.593552,1399,12,0.483635,0.725452,0x00E5A381,0x00E5A381
뱃,癖,2487,1,0.153884,0.593552,1400,12,0.56424,0.725452,0x00E79996,0x00E79996
뱄,別,2489,1,0.197851,0.593552,1401,12,0.644846,0.725452,0x00E588A5,0x00E588A5
뱅,市,1087,0,0.043967,0.901319,611,7,0.806058,0.241817,0x00E5B882,0x00E5B882
뱉,変,2494,1,0.307767,0.593552,1402,12,0.725452,0.725452,0x00E5A489,0x00E5A489
뱌,片,2495,1,0.329751,0.593552,1403,12,0.806058,0.725452,0x00E78987,0x00E78987
뱍,編,2497,1,0.373718,0.593552,1404,12,0.886663,0.725452,0x00E7B7A8,0x00E7B7A8
뱐,辺,2498,1,0.395701,0.593552,1405,12,0,0.806058,0x00E8BEBA,0x00E8BEBA
뱝,返,2499,1,0.417684,0.593552,1406,12,0.080606,0.806058,0x00E8BF94,0x00E8BF94
버,丸,438,0,0.615535,0.571568,226,4,0.725452,0.56424,0x00E4B8B8,0x00E4B8B8
벅,便,2501,1,0.461651,0.593552,1407,12,0.161212,0.806058,0x00E4BEBF,0x00E4BEBF
번,幹,397,0,0.703469,0.549585,201,4,0.644846,0.403029,0x00E5B9B9,0x00E5B9B9
벋,勉,2502,1,0.483635,0.593552,1408,12,0.241817,0.806058,0x00E58B89,0x00E58B89
벌,去,549,0,0.087934,0.637518,298,5,0.725452,0.080606,0x00E58EBB,0x00E58EBB
벎,弁,2504,1,0.527601,0.593552,1409,12,0.322423,0.806058,0x00E5BC81,0x00E5BC81
범,換,402,0,0.813385,0.549585,205,4,0,0.483635,0x00E68F9B,0x00E68F9B
법,学,339,0,0.417684,0.527601,178,4,0.725452,0.241817,0x00E5ADA6,0x00E5ADA6
벗,施,1095,0,0.219834,0.901319,617,7,0.322423,0.322423,0x00E696BD,0x00E696BD
벙,保,2506,1,0.571568,0.593552,1410,12,0.403029,0.806058,0x00E4BF9D,0x00E4BF9D
벚,刺,1076,0,0.791402,0.879336,602,7,0.080606,0.241817,0x00E588BA,0x00E588BA
베,休,528,0,0.615535,0.615535,282,5,0.403029,0,0x00E4BC91,0x00E4BC91
벡,腫,1209,0,0.747435,0.945286,684,7,0.886663,0.725452,0x00E885AB,0x00E885AB
벤,幸,859,0,0.967269,0.769419,479,6,0.806058,0.322423,0x00E5B9B8,0x00E5B9B8
벧,捕,2510,1,0.659502,0.593552,1411,12,0.483635,0.806058,0x00E68D95,0x00E68D95
벨,勘,387,0,0.483635,0.549585,194,4,0.080606,0.403029,0x00E58B98,0x00E58B98
벰,歩,2511,1,0.681485,0.593552,1412,12,0.56424,0.806058,0x00E6ADA9,0x00E6ADA9
벱,補,2513,1,0.725452,0.593552,1413,12,0.644846,0.806058,0x00E8A39C,0x00E8A39C
벳,募,2516,1,0.791402,0.593552,1414,12,0.725452,0.806058,0x00E58B9F,0x00E58B9F
벴,墓,2517,1,0.813385,0.593552,1415,12,0.806058,0.806058,0x00E5A293,0x00E5A293
벵,慕,2518,1,0.835369,0.593552,1416,12,0.886663,0.806058,0x00E68595,0x00E68595
벼,山,1054,0,0.307767,0.879336,592,7,0.241817,0.161212,0x00E5B1B1,0x00E5B1B1
벽,捌,1046,0,0.1319,0.879336,586,7,0.725452,0.080606,0x00E68D8C,0x00E68D8C
변,害,301,0,0.571568,0.505618,162,4,0.403029,0.161212,0x00E5AEB3,0x00E5AEB3
별,仇,527,0,0.593552,0.615535,281,5,0.322423,0,0x00E4BB87,0x00E4BB87
볍,暮,2520,1,0.879336,0.593552,1417,12,0,0.886663,0x00E69AAE,0x00E69AAE
볏,簿,2522,1,0.923302,0.593552,1418,12,0.080606,0.886663,0x00E7B0BF,0x00E7B0BF
볐,包,2526,1,0.021983,0.615535,1419,12,0.161212,0.886663,0x00E58C85,0x00E58C85
병,液,148,0,0.175867,0.439668,69,3,0.644846,0.483635,0x00E6B6B2,0x00E6B6B2
볕,呆,2527,1,0.043967,0.615535,1420,12,0.241817,0.886663,0x00E59186,0x00E59186
볘,報,2528,1,0.06595,0.615535,1421,12,0.322423,0.886663,0x00E5A0B1,0x00E5A0B1
볜,奉,2529,1,0.087934,0.615535,1422,12,0.403029,0.886663,0x00E5A589,0x00E5A589
보,永,137,0,0.923302,0.417684,63,3,0.161212,0.483635,0x00E6B0B8,0x00E6B0B8
복,屋,205,0,0.439668,0.461651,100,3,0.241817,0.725452,0x00E5B18B,0x00E5B18B
볶,宝,2530,1,0.109917,0.615535,1423,12,0.483635,0.886663,0x00E5AE9D,0x00E5AE9D
본,玉,609,0,0.417684,0.659502,339,5,0.161212,0.403029,0x00E78E89,0x00E78E89
볼,広,860,0,0,0.791402,480,6,0.886663,0.322423,0x00E5BA83,0x00E5BA83
봄,招,1340,1,0.659502,0.021983,760,8,0.241817,0.322423,0x00E68B9B,0x00E68B9B
봅,今,944,0,0.857352,0.813385,528,6,0.886663,0.644846,0x00E4BB8A,0x00E4BB8A
봇,峰,2531,1,0.1319,0.615535,1424,12,0.56424,0.886663,0x00E5B3B0,0x00E5B3B0
봉,型,690,0,0.219834,0.703469,377,5,0.322423,0.644846,0x00E59E8B,0x00E59E8B
봐,縮,1267,1,0.043967,0,722,8,0.080606,0.080606,0x00E7B8AE,0x00E7B8AE
봔,崩,2533,1,0.175867,0.615535,1425,12,0.644846,0.886663,0x00E5B4A9,0x00E5B4A9
봤,重,1260,0,0.879336,0.967269,719,8,0.806058,0,0x00E9878D,0x00E9878D
봬,抱,2535,1,0.219834,0.615535,1426,12,0.725452,0.886663,0x00E68AB1,0x00E68AB1
뵀,捧,2536,1,0.241817,0.615535,1427,12,0.806058,0.886663,0x00E68DA7,0x00E68DA7
뵈,放,2537,1,0.263801,0.615535,1428,12,0.886663,0.886663,0x00E694BE,0x00E694BE
뵉,方,2538,1,0.285784,0.615535,1429,13,0,0,0x00E696B9,0x00E696B9
뵌,法,2540,1,0.329751,0.615535,1430,13,0.080606,0,0x00E6B395,0x00E6B395
